-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2024 in LST
Location: Latitude  32.8998   Longitude -97.0403 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W m-2) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M,WS2M,RH2M,PS,PRECTOTCORR
2021,1,1,0,281.7,0.0,2.57,1.46,97.0,97.98,2.3
2021,1,1,1,282.12,0.0,2.15,2.89,96.06,98.05,3.12
2021,1,1,2,265.33,0.0,1.63,3.75,95.0,98.15,1.7
2021,1,1,3,253.9,0.0,1.25,3.62,94.64,98.21,0.51
2021,1,1,4,253.45,0.0,0.93,3.46,94.75,98.28,0.34
2021,1,1,5,268.6,0.0,1.03,3.85,93.97,98.42,0.43
2021,1,1,6,271.83,0.0,1.21,4.11,93.15,98.58,1.56
2021,1,1,7,267.85,5.57,1.22,4.35,92.53,98.75,1.19
2021,1,1,8,313.65,46.1,1.64,4.97,89.01,98.91,0.5
2021,1,1,9,318.1,103.45,2.45,5.92,81.94,99.05,0.08
2021,1,1,10,320.52,150.98,3.41,5.72,76.02,99.16,0.07
2021,1,1,11,322.0,184.77,4.27,5.36,71.42,99.24,0.28
2021,1,1,12,326.5,171.07,4.62,5.11,69.72,99.29,0.77
2021,1,1,13,324.9,130.25,4.76,4.92,69.07,99.32,1.03
2021,1,1,14,322.5,145.4,4.73,4.59,69.27,99.41,1.05
2021,1,1,15,322.45,68.45,4.55,4.3,70.21,99.5,0.94
2021,1,1,16,319.7,23.3,4.0,3.9,73.61,99.56,0.47
2021,1,1,17,244.62,12.55,3.02,3.05,80.2,99.62,0.13
2021,1,1,18,240.0,0.0,2.4,2.91,84.31,99.69,0.03
2021,1,1,19,264.33,0.0,1.82,2.97,87.02,99.77,0.01
2021,1,1,20,273.85,0.0,1.13,2.85,89.58,99.83,0.01
2021,1,1,21,278.8,0.0,0.42,2.5,92.56,99.89,0.02
2021,1,1,22,291.25,0.0,-0.44,2.09,96.29,99.93,0.02
2021,1,1,23,267.17,0.0,-0.76,2.02,97.21,99.94,0.04
2021,1,2,0,257.92,0.0,-0.7,2.1,96.45,99.94,0.04
2021,1,2,1,254.2,0.0,-0.89,2.13,96.57,99.93,0.03
2021,1,2,2,252.3,0.0,-1.21,2.03,96.56,99.93,0.02
2021,1,2,3,268.77,0.0,-1.59,2.0,96.07,99.92,0.01
2021,1,2,4,273.83,0.0,-1.94,2.1,94.61,99.92,0.01
2021,1,2,5,269.0,0.0,-2.01,2.21,92.12,99.97,0.01
2021,1,2,6,265.92,0.0,-1.57,2.34,88.86,100.05,2.17
2021,1,2,7,261.3,5.85,-1.31,2.35,87.88,100.09,1.18
2021,1,2,8,244.82,116.55,0.68,3.32,79.58,100.14,0.21
2021,1,2,9,252.8,285.0,2.74,2.96,74.93,100.17,0.01
2021,1,2,10,262.5,421.65,5.68,2.98,59.55,100.16,0.0
2021,1,2,11,258.83,544.67,7.88,3.27,43.01,100.07,0.02
2021,1,2,12,253.85,605.17,9.25,2.98,42.57,99.95,0.02
2021,1,2,13,252.07,581.2,10.39,2.95,44.6,99.85,0.0
2021,1,2,14,252.93,491.23,11.02,2.91,46.03,99.81,0.0
2021,1,2,15,250.9,347.65,11.12,2.53,48.0,99.77,0.0
2021,1,2,16,247.48,167.3,9.74,1.1,66.36,99.74,0.0
2021,1,2,17,240.45,14.8,7.45,1.16,64.37,99.72,0.0
2021,1,2,18,240.9,0.0,6.15,1.34,67.0,99.71,0.0
2021,1,2,19,235.8,0.0,4.5,1.49,75.14,99.68,0.0
2021,1,2,20,235.07,0.0,3.79,1.74,78.16,99.66,0.0
2021,1,2,21,235.05,0.0,3.56,2.08,78.82,99.64,0.0
2021,1,2,22,234.93,0.0,3.32,2.45,79.55,99.64,0.0
2021,1,2,23,233.85,0.0,2.98,2.83,81.07,99.65,0.0
2021,1,3,0,234.48,0.0,2.28,2.97,84.53,99.62,0.0
2021,1,3,1,231.62,0.0,1.39,2.92,88.17,99.58,0.0
2021,1,3,2,232.55,0.0,0.34,2.69,91.48,99.51,0.0
2021,1,3,3,232.12,0.0,-0.11,2.89,91.67,99.45,0.3
2021,1,3,4,232.1,0.0,0.2,3.23,89.48,99.39,3.63
2021,1,3,5,232.55,0.0,0.25,2.95,89.9,99.37,3.46
2021,1,3,6,236.2,0.0,-1.12,2.15,99.04,99.39,0.0
2021,1,3,7,237.7,6.85,-1.28,2.31,99.85,99.46,0.0
2021,1,3,8,240.38,134.9,1.47,3.65,84.08,99.51,0.0
2021,1,3,9,247.0,320.02,4.38,3.49,73.18,99.54,0.0
2021,1,3,10,254.35,473.88,8.02,4.0,60.44,99.5,0.0
2021,1,3,11,260.38,576.75,11.15,4.43,51.69,99.41,0.0
2021,1,3,12,269.3,613.53,13.52,4.64,45.61,99.3,0.0
2021,1,3,13,267.05,586.2,15.01,4.58,42.39,99.2,0.0
2021,1,3,14,267.23,495.88,15.67,4.28,41.42,99.15,0.0
2021,1,3,15,265.67,351.65,15.39,3.46,44.89,99.17,0.0
2021,1,3,16,262.8,170.32,12.76,1.78,63.04,99.21,0.0
2021,1,3,17,255.38,15.7,8.81,1.59,72.98,99.28,0.0
2021,1,3,18,254.55,0.0,7.57,1.6,75.18,99.33,0.0
2021,1,3,19,251.05,0.0,6.81,1.58,76.17,99.36,0.0
2021,1,3,20,249.43,0.0,6.13,1.54,76.63,99.36,0.0
2021,1,3,21,247.73,0.0,5.55,1.47,76.96,99.36,0.0
2021,1,3,22,245.65,0.0,5.46,1.39,74.44,99.34,0.0
2021,1,3,23,251.3,0.0,5.88,1.21,70.25,99.35,0.0
2021,1,4,0,261.33,0.0,6.34,0.9,68.39,99.36,0.0
2021,1,4,1,268.12,0.0,6.16,0.81,71.62,99.39,0.0
2021,1,4,2,260.15,0.0,5.11,0.99,77.22,99.39,0.0
2021,1,4,3,277.77,0.0,4.12,1.13,82.35,99.37,0.0
2021,1,4,4,260.27,0.0,3.4,1.25,86.65,99.39,0.0
2021,1,4,5,257.73,0.0,2.54,1.41,91.71,99.43,0.0
2021,1,4,6,256.88,0.0,1.96,1.52,95.86,99.49,0.0
2021,1,4,7,252.93,6.57,1.9,1.55,97.26,99.57,0.0
2021,1,4,8,255.73,131.7,5.36,1.94,83.93,99.67,0.0
2021,1,4,9,260.52,313.6,8.01,2.18,74.74,99.75,0.0
2021,1,4,10,267.3,468.12,10.62,1.27,70.19,99.79,0.0
2021,1,4,11,273.08,576.47,14.18,1.06,56.91,99.78,0.0
2021,1,4,12,281.38,613.4,16.52,1.52,46.23,99.71,0.0
2021,1,4,13,283.12,587.2,17.32,2.22,43.04,99.68,0.0
2021,1,4,14,283.7,498.27,17.4,2.78,42.19,99.7,0.0
2021,1,4,15,281.73,355.0,16.84,2.66,44.82,99.75,0.0
2021,1,4,16,277.55,173.85,14.25,1.27,66.56,99.79,0.0
2021,1,4,17,268.3,16.83,10.36,1.38,71.97,99.85,0.0
2021,1,4,18,266.38,0.0,9.15,1.45,72.74,99.91,0.0
2021,1,4,19,262.75,0.0,8.54,1.47,72.95,99.93,0.0
2021,1,4,20,261.25,0.0,7.82,1.5,74.37,99.95,0.0
2021,1,4,21,260.05,0.0,7.03,1.53,77.08,99.97,0.0
2021,1,4,22,258.42,0.0,6.29,1.54,80.28,99.98,0.0
2021,1,4,23,257.9,0.0,5.61,1.53,83.62,99.98,0.0
2021,1,5,0,257.5,0.0,4.98,1.49,87.74,99.98,0.0
2021,1,5,1,256.25,0.0,4.45,1.42,91.43,99.98,0.0
2021,1,5,2,255.32,0.0,4.0,1.38,95.15,99.98,0.0
2021,1,5,3,253.9,0.0,3.54,1.36,99.28,99.96,0.0
2021,1,5,4,254.0,0.0,3.09,1.36,100.0,99.94,0.0
2021,1,5,5,254.1,0.0,2.66,1.37,100.0,99.94,0.0
2021,1,5,6,255.32,0.0,2.24,1.4,100.0,99.97,0.0
2021,1,5,7,255.88,6.57,2.06,1.38,100.0,100.0,0.0
2021,1,5,8,262.15,132.05,5.33,2.06,93.72,100.03,0.0
2021,1,5,9,269.98,312.05,7.76,2.22,83.39,100.06,0.0
2021,1,5,10,279.6,462.42,10.94,2.26,71.32,100.03,0.0
2021,1,5,11,288.77,564.33,14.7,3.91,46.9,99.92,0.0
2021,1,5,12,293.88,604.42,16.19,3.84,41.08,99.75,0.0
2021,1,5,13,307.08,547.0,17.06,3.84,38.73,99.6,0.0
2021,1,5,14,305.42,472.02,17.33,3.88,38.12,99.5,0.0
2021,1,5,15,304.45,328.85,16.92,3.49,40.91,99.45,0.0
2021,1,5,16,307.4,141.27,14.38,1.97,58.5,99.42,0.0
2021,1,5,17,300.52,12.2,10.82,1.92,69.25,99.42,0.0
2021,1,5,18,296.17,0.0,9.93,2.24,71.69,99.44,0.0
2021,1,5,19,299.42,0.0,9.65,2.56,73.59,99.46,0.0
2021,1,5,20,306.9,0.0,9.54,3.04,75.72,99.44,0.0
2021,1,5,21,298.1,0.0,10.1,4.02,75.35,99.41,0.0
2021,1,5,22,304.75,0.0,10.18,4.43,78.25,99.39,0.01
2021,1,5,23,310.77,0.0,10.25,4.78,81.16,99.37,0.03
2021,1,6,0,316.48,0.0,10.3,4.74,84.51,99.31,0.07
2021,1,6,1,323.65,0.0,10.45,4.43,88.15,99.29,0.15
2021,1,6,2,327.52,0.0,10.67,4.42,91.66,99.28,0.34
2021,1,6,3,331.38,0.0,10.81,4.46,94.18,99.23,0.65
2021,1,6,4,337.52,0.0,10.88,4.26,95.16,99.18,0.86
2021,1,6,5,337.75,0.0,10.97,4.05,95.31,99.19,1.03
2021,1,6,6,344.92,0.0,11.08,3.91,95.59,99.2,0.88
2021,1,6,7,341.35,2.8,11.27,3.8,95.8,99.19,1.4
2021,1,6,8,307.4,81.2,11.89,3.62,94.79,99.2,1.97
2021,1,6,9,326.98,186.32,13.16,3.7,91.91,99.21,2.11
2021,1,6,10,325.92,319.23,14.76,3.61,86.57,99.18,2.04
2021,1,6,11,315.45,448.12,15.83,3.73,79.33,99.08,1.85
2021,1,6,12,317.33,512.17,16.28,4.4,69.16,98.95,1.44
2021,1,6,13,314.48,464.77,15.89,5.23,61.34,98.87,1.2
2021,1,6,14,315.4,400.2,14.89,6.1,58.33,98.86,1.47
2021,1,6,15,318.4,255.52,13.52,6.91,59.59,98.89,1.23
2021,1,6,16,313.65,103.97,11.75,6.14,65.53,99.03,0.6
2021,1,6,17,327.27,9.0,10.17,5.2,73.39,99.15,0.67
2021,1,6,18,332.67,0.0,9.24,4.93,78.86,99.22,0.75
2021,1,6,19,332.52,0.0,8.46,5.1,83.45,99.25,0.65
2021,1,6,20,331.9,0.0,7.7,5.15,87.14,99.28,0.37
2021,1,6,21,327.62,0.0,7.27,5.13,88.05,99.29,0.18
2021,1,6,22,301.15,0.0,7.13,4.97,87.96,99.3,0.14
2021,1,6,23,299.7,0.0,7.11,4.97,87.45,99.3,0.12
2021,1,7,0,310.42,0.0,7.14,5.19,86.03,99.31,0.06
2021,1,7,1,297.33,0.0,7.0,5.75,84.02,99.32,0.03
2021,1,7,2,293.12,0.0,6.61,6.08,83.07,99.34,0.03
2021,1,7,3,304.67,0.0,6.19,6.1,82.84,99.35,0.03
2021,1,7,4,316.08,0.0,5.82,5.99,82.78,99.39,0.02
2021,1,7,5,312.77,0.0,5.42,5.77,83.25,99.49,0.01
2021,1,7,6,311.73,0.0,5.12,5.46,83.82,99.58,0.0
2021,1,7,7,313.17,3.55,4.8,5.06,85.02,99.64,0.0
2021,1,7,8,285.95,98.93,5.6,5.01,80.99,99.7,0.0
2021,1,7,9,286.75,263.55,7.4,5.72,71.61,99.79,0.0
2021,1,7,10,286.8,406.27,8.99,5.67,64.03,99.85,0.0
2021,1,7,11,300.48,468.92,10.13,5.37,59.42,99.83,0.02
2021,1,7,12,316.8,478.4,10.64,5.06,57.39,99.76,0.06
2021,1,7,13,335.35,355.3,10.72,4.81,57.19,99.73,0.09
2021,1,7,14,321.75,351.45,10.44,4.56,58.28,99.75,0.1
2021,1,7,15,308.98,241.77,9.97,4.28,60.16,99.77,0.08
2021,1,7,16,301.62,122.07,9.15,3.79,63.74,99.82,0.02
2021,1,7,17,291.75,13.32,7.3,2.39,75.29,99.89,0.01
2021,1,7,18,300.95,0.0,6.37,2.42,80.83,99.98,0.01
2021,1,7,19,293.25,0.0,5.99,2.71,82.71,100.06,0.01
2021,1,7,20,268.83,0.0,5.47,2.83,85.45,100.13,0.01
2021,1,7,21,264.45,0.0,4.84,2.65,88.59,100.18,0.0
2021,1,7,22,271.38,0.0,4.12,2.33,91.83,100.2,0.0
2021,1,7,23,288.98,0.0,3.29,2.01,95.93,100.22,0.0
2021,1,8,0,291.42,0.0,2.49,1.81,100.0,100.24,0.0
2021,1,8,1,309.48,0.0,1.87,1.78,100.0,100.27,0.0
2021,1,8,2,308.2,0.0,1.53,1.89,100.0,100.32,0.0
2021,1,8,3,318.58,0.0,1.52,2.07,100.0,100.34,0.0
2021,1,8,4,317.73,0.0,1.35,2.03,100.0,100.37,0.0
2021,1,8,5,318.9,0.0,1.03,1.89,100.0,100.41,0.0
2021,1,8,6,319.45,0.0,0.59,1.79,100.0,100.47,0.0
2021,1,8,7,318.45,2.38,0.55,1.78,100.0,100.53,0.0
2021,1,8,8,318.08,31.92,3.56,3.1,86.51,100.6,0.0
2021,1,8,9,326.05,95.15,6.16,3.78,68.46,100.68,0.0
2021,1,8,10,332.45,158.9,7.49,3.93,59.39,100.71,0.0
2021,1,8,11,355.85,242.27,8.36,3.85,55.22,100.67,0.0
2021,1,8,12,316.95,416.15,9.12,3.69,51.82,100.53,0.0
2021,1,8,13,325.35,401.75,9.47,3.5,50.01,100.41,0.0
2021,1,8,14,290.85,409.15,9.43,3.37,49.43,100.35,0.0
2021,1,8,15,276.58,316.98,9.19,3.28,49.54,100.34,0.0
2021,1,8,16,269.25,159.48,8.2,2.68,53.42,100.34,0.0
2021,1,8,17,258.77,17.45,4.71,1.46,74.37,100.38,0.0
2021,1,8,18,252.52,0.0,3.41,1.64,77.41,100.44,0.0
2021,1,8,19,247.43,0.0,2.72,1.72,78.51,100.47,0.0
2021,1,8,20,245.02,0.0,2.03,1.71,80.44,100.5,0.0
2021,1,8,21,242.4,0.0,1.35,1.64,82.8,100.52,0.0
2021,1,8,22,239.62,0.0,0.64,1.51,85.65,100.53,0.0
2021,1,8,23,237.48,0.0,-0.05,1.36,88.52,100.54,0.0
2021,1,9,0,236.0,0.0,-0.67,1.27,92.33,100.54,0.0
2021,1,9,1,233.68,0.0,-1.24,1.24,96.79,100.53,0.0
2021,1,9,2,231.82,0.0,-1.72,1.19,100.0,100.54,0.0
2021,1,9,3,231.3,0.0,-2.07,1.12,100.0,100.54,0.0
2021,1,9,4,231.27,0.0,-2.41,1.12,100.0,100.54,0.0
2021,1,9,5,229.4,0.0,-2.82,1.13,100.0,100.56,0.0
2021,1,9,6,229.07,0.0,-3.13,1.13,100.0,100.61,0.0
2021,1,9,7,228.82,6.15,-3.15,1.12,100.0,100.66,0.02
2021,1,9,8,233.05,128.27,-0.36,2.02,90.72,100.73,0.01
2021,1,9,9,242.02,309.58,2.37,1.68,74.51,100.79,0.0
2021,1,9,10,257.95,446.27,5.01,1.7,59.64,100.8,0.0
2021,1,9,11,275.05,478.15,6.39,1.81,54.15,100.71,0.0
2021,1,9,12,271.12,541.95,7.53,1.93,50.0,100.57,0.0
2021,1,9,13,278.2,521.6,8.46,2.2,46.3,100.45,0.0
2021,1,9,14,275.48,436.2,8.88,2.45,44.12,100.38,0.0
2021,1,9,15,273.0,306.2,8.76,2.62,43.9,100.34,0.0
2021,1,9,16,260.7,160.12,7.64,2.06,51.21,100.35,0.0
2021,1,9,17,277.42,15.27,4.01,1.38,72.79,100.38,0.0
2021,1,9,18,281.0,0.0,2.74,1.55,75.77,100.43,0.0
2021,1,9,19,264.48,0.0,2.43,1.65,77.05,100.47,0.0
2021,1,9,20,265.7,0.0,2.77,1.87,76.3,100.48,0.0
2021,1,9,21,274.77,0.0,2.79,1.82,77.91,100.49,0.01
2021,1,9,22,279.8,0.0,2.38,1.6,81.57,100.5,0.12
2021,1,9,23,294.23,0.0,1.82,1.36,85.15,100.53,0.33
2021,1,10,0,298.02,0.0,0.8,1.22,88.68,100.56,0.05
2021,1,10,1,296.48,0.0,0.67,1.33,89.77,100.57,0.0
2021,1,10,2,304.1,0.0,0.76,1.74,89.42,100.55,0.01
2021,1,10,3,293.42,0.0,0.84,1.93,88.86,100.5,0.03
2021,1,10,4,300.0,0.0,0.91,1.75,89.37,100.47,0.13
2021,1,10,5,293.67,0.0,0.99,1.68,89.85,100.49,0.18
2021,1,10,6,285.48,0.0,1.09,2.11,89.21,100.5,0.17
